Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2025-03-27,223.85000610351562,224.99000549316406,220.55999755859375,221.38999938964844,37094800
1,2025-03-28,217.89999389648438,223.80999755859375,217.67999267578125,221.6699981689453,39818600
2,2025-03-31,222.1300048828125,225.6199951171875,216.22999572753906,217.00999450683594,65299300
3,2025-04-01,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700
4,2025-04-02,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900
5,2025-04-03,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000
6,2025-04-04,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900
7,2025-04-07,181.4600067138672,194.14999389648438,174.6199951171875,177.1999969482422,160466300
8,2025-04-08,172.4199981689453,190.33999633789062,169.2100067138672,186.6999969482422,120859500
9,2025-04-09,198.85000610351562,200.61000061035156,171.88999938964844,171.9499969482422,184395900
10,2025-04-10,190.4199981689453,194.77999877929688,183.0,189.07000732421875,121880000
11,2025-04-11,198.14999389648438,199.5399932861328,186.05999755859375,186.10000610351562,87435900
12,2025-04-14,202.52000427246094,212.94000244140625,201.16000366210938,211.44000244140625,101352900
13,2025-04-15,202.13999938964844,203.50999450683594,199.8000030517578,201.86000061035156,51343900
14,2025-04-16,194.27000427246094,200.6999969482422,192.3699951171875,198.36000061035156,59732400
15,2025-04-17,196.97999572753906,198.8300018310547,194.4199981689453,197.1999969482422,51334300
16,2025-04-21,193.16000366210938,193.8000030517578,189.80999755859375,193.27000427246094,46742500
17,2025-04-22,199.74000549316406,201.58999633789062,195.97000122070312,196.1199951171875,52976400
18,2025-04-23,204.60000610351562,208.0,202.8000030517578,206.0,52929200
19,2025-04-24,208.3699951171875,208.8300018310547,202.94000244140625,204.88999938964844,47311000
20,2025-04-25,209.27999877929688,209.75,206.1999969482422,206.3699951171875,38198600
