Price,Date,Close,High,Low,Open,Volume
Ticker,,ABBV,ABBV,ABBV,ABBV,ABBV
0,2025-03-26,199.45672607421875,201.26005271777734,194.690773014519,201.26005271777734,6742900
1,2025-03-27,200.8637237548828,201.81492470830983,199.4567283019332,200.17013657653675,4995300
2,2025-03-28,203.41017150878906,204.13349785098117,199.7440550957258,200.8736156147575,6478100
3,2025-03-31,207.60145568847656,208.87963666675338,202.55805269404078,202.55805269404078,11093700
4,2025-04-01,204.38121032714844,210.20735747010184,203.71734726490146,208.59229349919815,7853200
5,2025-04-02,203.31109619140625,205.3225064559191,198.50550115408296,205.3225064559191,9262800
6,2025-04-03,199.79360961914062,208.7607430363596,199.39727841181002,208.37431481753902,7593100
7,2025-04-04,185.24803161621094,198.16861891722507,184.4652571048111,198.16861891722507,13505200
8,2025-04-07,184.84178161621094,186.476666668437,174.66581884015517,179.37232352154828,12581100
9,2025-04-08,174.0614013671875,186.6649265049211,170.7420861336348,185.8821671271775,12517100
10,2025-04-09,178.19322204589844,178.9462724889635,162.88469895388297,166.75889915934494,18977800
11,2025-04-10,172.60487365722656,176.37008064997187,163.45939561865936,176.12236986254212,13970000
12,2025-04-11,173.4470977783203,175.34951482680668,167.77947370677967,172.2184468199145,9047700
13,2025-04-14,177.4600067138672,178.540022073154,174.58655262884804,175.8152035257941,7164400
14,2025-04-15,176.8000030517578,180.5,176.30999755859375,177.6999969482422,8078500
15,2025-04-16,171.67999267578125,176.85000610351562,169.75,176.52999877929688,9459300
16,2025-04-17,172.99000549316406,175.1999969482422,171.91000366210938,172.57000732421875,8998100
17,2025-04-21,170.16000366210938,174.1699981689453,168.5399932861328,173.47000122070312,7364600
18,2025-04-22,173.77999877929688,174.66000366210938,170.91000366210938,171.0800018310547,6191900
19,2025-04-23,177.0500030517578,178.14999389648438,174.39999389648438,175.0,7119700
20,2025-04-24,180.3699951171875,181.49000549316406,176.11000061035156,177.61000061035156,8769400
21,2025-04-25,185.22999572753906,188.25430297851562,179.99000549316406,187.1199951171875,6083157
