Price,Date,Close,High,Low,Open,Volume
Ticker,,ANET,ANET,ANET,ANET,ANET
0,2025-03-27,78.95999908447266,81.05000305175781,78.0,80.25,12678600
1,2025-03-28,77.94000244140625,80.2300033569336,77.06999969482422,79.44000244140625,9783800
2,2025-03-31,77.4800033569336,77.68000030517578,74.52999877929688,75.22000122070312,10768100
3,2025-04-01,78.48999786376953,78.55000305175781,75.90699768066406,77.1500015258789,6956400
4,2025-04-02,80.16000366210938,81.20999908447266,75.5,75.7249984741211,7163700
5,2025-04-03,71.2699966430664,75.55000305175781,71.13999938964844,73.22000122070312,19579700
6,2025-04-04,64.37000274658203,68.80000305175781,62.41999816894531,67.5199966430664,21792400
7,2025-04-07,68.16999816894531,70.69000244140625,59.43000030517578,59.79999923706055,20012600
8,2025-04-08,69.5,74.45999908447266,67.78500366210938,72.63999938964844,21129700
9,2025-04-09,76.0,77.6500015258789,68.58999633789062,68.91000366210938,22451400
10,2025-04-10,72.6500015258789,74.5,69.88999938964844,74.0,12227000
11,2025-04-11,72.66999816894531,73.80000305175781,70.62000274658203,72.98999786376953,11227300
12,2025-04-14,73.58999633789062,76.77999877929688,73.18000030517578,76.5,10648400
13,2025-04-15,73.19999694824219,74.01000213623047,72.41000366210938,73.16999816894531,9119500
14,2025-04-16,71.87000274658203,73.13400268554688,69.125,69.125,8003100
15,2025-04-17,71.19999694824219,72.51000213623047,70.41000366210938,72.51000213623047,8567100
16,2025-04-21,67.66999816894531,69.30000305175781,66.58999633789062,68.68000030517578,9472800
17,2025-04-22,68.66999816894531,69.26000213623047,67.16000366210938,67.66999816894531,8795200
18,2025-04-23,70.76000213623047,73.63999938964844,70.36000061035156,73.20999908447266,11589100
19,2025-04-24,75.29000091552734,75.9800033569336,71.55999755859375,71.55999755859375,11772000
20,2025-04-25,77.91000366210938,79.0,76.01000213623047,76.41000366210938,12457100
