Price,Date,Close,High,Low,Open,Volume
Ticker,,ASX,ASX,ASX,ASX,ASX
0,2025-03-25,9.760000228881836,9.880000114440918,9.75,9.880000114440918,6236800
1,2025-03-26,9.5,9.789999961853027,9.420000076293945,9.789999961853027,13480000
2,2025-03-27,9.279999732971191,9.4399995803833,9.239999771118164,9.359999656677246,12897800
3,2025-03-28,8.800000190734863,9.09000015258789,8.770000457763672,9.0600004196167,12884300
4,2025-03-31,8.760000228881836,8.800000190734863,8.529999732971191,8.550000190734863,9944100
5,2025-04-01,8.989999771118164,9.0,8.800000190734863,8.960000038146973,10529100
6,2025-04-02,9.029999732971191,9.119999885559082,8.859999656677246,8.899999618530273,11699600
7,2025-04-03,8.199999809265137,8.640000343322754,8.1899995803833,8.539999961853027,18095000
8,2025-04-04,7.670000076293945,7.989999771118164,7.53000020980835,7.920000076293945,19389300
9,2025-04-07,7.590000152587891,7.960000038146973,7.070000171661377,7.210000038146973,20671400
10,2025-04-08,7.420000076293945,8.020000457763672,7.199999809265137,7.869999885559082,21285500
11,2025-04-09,8.350000381469727,8.399999618530273,6.940000057220459,7.0,36777100
12,2025-04-10,7.860000133514404,8.199999809265137,7.599999904632568,8.09000015258789,22249900
13,2025-04-11,8.300000190734863,8.380000114440918,8.039999961853027,8.220000267028809,13719300
14,2025-04-14,8.220000267028809,8.300000190734863,8.050000190734863,8.270000457763672,14326800
15,2025-04-15,8.430000305175781,8.529999732971191,8.279999732971191,8.359999656677246,7385800
16,2025-04-16,8.210000038146973,8.350000381469727,7.989999771118164,8.140000343322754,20398800
17,2025-04-17,8.079999923706055,8.1899995803833,8.0600004196167,8.180000305175781,10623900
18,2025-04-21,8.010000228881836,8.020000457763672,7.860000133514404,7.96999979019165,12182000
19,2025-04-22,8.15999984741211,8.229999542236328,8.079999923706055,8.119999885559082,15536100
20,2025-04-23,8.520000457763672,8.680000305175781,8.470000267028809,8.550000190734863,17011000
