Price,Date,Close,High,Low,Open,Volume
Ticker,,AVTR,AVTR,AVTR,AVTR,AVTR
0,2025-03-27,16.170000076293945,16.344999313354492,15.920000076293945,16.100000381469727,3794000
1,2025-03-28,16.18000030517578,16.225000381469727,16.0,16.149999618530273,4997600
2,2025-03-31,16.209999084472656,16.350000381469727,15.805000305175781,16.0,5679100
3,2025-04-01,15.800000190734863,16.290000915527344,15.6850004196167,16.18000030517578,7473100
4,2025-04-02,16.290000915527344,16.290000915527344,15.5600004196167,15.609999656677246,8016600
5,2025-04-03,15.670000076293945,16.030000686645508,15.430000305175781,16.030000686645508,17685200
6,2025-04-04,15.130000114440918,15.569999694824219,14.930000305175781,15.470000267028809,24521600
7,2025-04-07,15.229999542236328,15.960000038146973,14.670000076293945,14.779999732971191,12004200
8,2025-04-08,14.279999732971191,15.670000076293945,14.145000457763672,15.529999732971191,13043800
9,2025-04-09,15.890000343322754,15.989999771118164,13.803000450134277,14.050000190734863,15171300
10,2025-04-10,14.699999809265137,15.454999923706055,14.550000190734863,15.420000076293945,13525700
11,2025-04-11,15.220000267028809,15.229999542236328,14.5,14.899999618530273,18932600
12,2025-04-14,15.5600004196167,15.680000305175781,15.180000305175781,15.619999885559082,6689600
13,2025-04-15,15.399999618530273,15.579999923706055,15.114999771118164,15.4399995803833,9394300
14,2025-04-16,15.25,15.720000267028809,15.069999694824219,15.4399995803833,8282700
15,2025-04-17,15.100000381469727,15.239999771118164,14.899999618530273,15.170000076293945,9421000
16,2025-04-21,14.960000038146973,15.114999771118164,14.739999771118164,14.9399995803833,7559000
17,2025-04-22,15.279999732971191,15.425000190734863,15.119999885559082,15.229999542236328,8477900
18,2025-04-23,15.470000267028809,16.170000076293945,15.425000190734863,15.739999771118164,7100900
19,2025-04-24,15.5,15.630000114440918,14.979999542236328,15.520000457763672,13782100
20,2025-04-25,12.930000305175781,13.5600004196167,12.194999694824219,13.5600004196167,43597900
