Price,Date,Close,High,Low,Open,Volume
Ticker,,BABA,BABA,BABA,BABA,BABA
0,2025-03-25,132.75,136.2449951171875,132.35000610351562,132.94000244140625,17943400
1,2025-03-26,132.24000549316406,134.66000366210938,131.1300048828125,133.52999877929688,15933500
2,2025-03-27,135.6300048828125,137.78500366210938,132.8800048828125,133.4499969482422,16688300
3,2025-03-28,132.42999267578125,134.2100067138672,131.39999389648438,133.5,13271500
4,2025-03-31,132.22999572753906,132.8699951171875,128.0,130.02999877929688,12183800
5,2025-04-01,132.6999969482422,134.10000610351562,131.52999877929688,132.75,11627500
6,2025-04-02,129.7899932861328,132.8300018310547,129.14999389648438,131.9600067138672,21240900
7,2025-04-03,129.3300018310547,130.6699981689453,125.5,125.6449966430664,30607600
8,2025-04-04,116.54000091552734,118.87000274658203,111.30000305175781,117.56999969482422,57154500
9,2025-04-07,105.9800033569336,114.12000274658203,102.63999938964844,106.62000274658203,61386600
10,2025-04-08,99.37000274658203,109.0,97.75,108.26000213623047,52100200
11,2025-04-09,104.77999877929688,107.04000091552734,95.7300033569336,100.5999984741211,74981900
12,2025-04-10,104.18000030517578,108.44999694824219,101.37000274658203,106.86000061035156,53133400
13,2025-04-11,107.7300033569336,108.04399871826172,102.19000244140625,104.77999877929688,40522800
14,2025-04-14,113.97000122070312,116.0,111.69999694824219,111.87000274658203,32926100
15,2025-04-15,112.27999877929688,114.0,111.47000122070312,113.77999877929688,16172300
16,2025-04-16,106.75,108.97000122070312,105.94999694824219,108.17500305175781,18031600
17,2025-04-17,108.87000274658203,111.51499938964844,108.41999816894531,110.83499908447266,17885000
18,2025-04-21,110.1500015258789,110.2300033569336,107.2699966430664,108.7300033569336,12145700
19,2025-04-22,115.87999725341797,117.43000030517578,113.01000213623047,114.36000061035156,27662400
20,2025-04-23,118.97000122070312,123.80999755859375,118.75,119.58999633789062,25705000
