Price,Date,Close,High,Low,Open,Volume
Ticker,,CORZ,CORZ,CORZ,CORZ,CORZ
0,2025-03-27,7.880000114440918,8.319999694824219,7.179999828338623,7.199999809265137,34535800
1,2025-03-28,7.480000019073486,8.0,7.119999885559082,7.824999809265137,44082300
2,2025-03-31,7.239999771118164,7.360000133514404,6.880000114440918,7.210000038146973,19358300
3,2025-04-01,8.0,8.0600004196167,7.150000095367432,7.210000038146973,28327800
4,2025-04-02,8.420000076293945,8.489999771118164,7.724999904632568,7.889999866485596,32549300
5,2025-04-03,7.150000095367432,7.880000114440918,7.119999885559082,7.619999885559082,21677400
6,2025-04-04,7.179999828338623,7.480000019073486,6.679999828338623,6.945000171661377,24873100
7,2025-04-07,7.019999980926514,7.644999980926514,6.550000190734863,6.664999961853027,21000700
8,2025-04-08,6.510000228881836,7.5,6.309999942779541,7.429999828338623,24643600
9,2025-04-09,7.510000228881836,7.639999866485596,6.199999809265137,6.460000038146973,24641700
10,2025-04-10,6.820000171661377,7.269999980926514,6.644999980926514,7.21999979019165,12032600
11,2025-04-11,7.070000171661377,7.150000095367432,6.699999809265137,6.809999942779541,7209100
12,2025-04-14,7.059999942779541,7.5,7.010000228881836,7.414999961853027,10050700
13,2025-04-15,6.849999904632568,7.159999847412109,6.695000171661377,7.159999847412109,9982600
14,2025-04-16,6.590000152587891,6.880000114440918,6.544000148773193,6.579999923706055,8238700
15,2025-04-17,6.630000114440918,6.75,6.300000190734863,6.639999866485596,9750500
16,2025-04-21,6.389999866485596,6.699999809265137,6.360000133514404,6.579999923706055,6897800
17,2025-04-22,6.920000076293945,7.045000076293945,6.449999809265137,6.514999866485596,12827500
18,2025-04-23,7.119999885559082,7.610000133514404,7.054999828338623,7.389999866485596,14681000
19,2025-04-24,7.53000020980835,7.59499979019165,7.079999923706055,7.139999866485596,10346700
20,2025-04-25,8.3100004196167,8.359999656677246,7.5,7.525000095367432,13719500
