Price,Date,Close,High,Low,Open,Volume
Ticker,,ENPH,ENPH,ENPH,ENPH,ENPH
0,2025-03-25,62.77000045776367,64.4000015258789,60.93000030517578,62.04999923706055,2321500
1,2025-03-26,60.150001525878906,62.849998474121094,59.52000045776367,61.959999084472656,2449500
2,2025-03-27,60.709999084472656,62.650001525878906,59.939998626708984,60.13999938964844,1941900
3,2025-03-28,61.650001525878906,63.0,60.13999938964844,60.7400016784668,3418200
4,2025-03-31,62.04999923706055,62.13999938964844,59.060001373291016,61.099998474121094,3116700
5,2025-04-01,62.38999938964844,62.630001068115234,58.90999984741211,62.22999954223633,3068800
6,2025-04-02,62.52000045776367,63.70000076293945,61.459999084472656,61.72999954223633,2081800
7,2025-04-03,58.77000045776367,60.65999984741211,57.02000045776367,59.04999923706055,4312800
8,2025-04-04,57.27000045776367,57.810001373291016,53.52000045776367,56.7599983215332,4407400
9,2025-04-07,55.7599983215332,59.400001525878906,53.209999084472656,54.709999084472656,4120100
10,2025-04-08,49.52000045776367,57.380001068115234,48.380001068115234,56.290000915527344,6045100
11,2025-04-09,54.130001068115234,55.119998931884766,47.47999954223633,48.5,7734400
12,2025-04-10,49.560001373291016,52.59000015258789,48.41999816894531,52.5099983215332,4962300
13,2025-04-11,51.88999938964844,52.08000183105469,47.93000030517578,49.36000061035156,4265900
14,2025-04-14,54.54999923706055,54.939998626708984,52.099998474121094,52.59000015258789,2953800
15,2025-04-15,53.06999969482422,55.40999984741211,52.41999816894531,54.459999084472656,2550300
16,2025-04-16,51.75,54.0,50.83000183105469,52.45000076293945,2269900
17,2025-04-17,52.540000915527344,52.68000030517578,49.400001525878906,50.150001525878906,3144600
18,2025-04-21,51.619998931884766,52.06999969482422,50.439998626708984,51.939998626708984,2781600
19,2025-04-22,53.43000030517578,54.720001220703125,51.95000076293945,52.220001220703125,6313400
20,2025-04-23,45.06999969482422,50.689998626708984,44.880001068115234,47.36000061035156,23364800
