Price,Date,Close,High,Low,Open,Volume
Ticker,,GOLD,GOLD,GOLD,GOLD,GOLD
0,2025-03-27,19.559999465942383,19.6200008392334,19.350000381469727,19.469999313354492,15567400
1,2025-03-28,19.139999389648438,19.889999389648438,19.079999923706055,19.75,23714100
2,2025-03-31,19.440000534057617,19.5,18.770000457763672,19.399999618530273,27744700
3,2025-04-01,19.65999984741211,19.75,19.31999969482422,19.5,25220200
4,2025-04-02,19.40999984741211,19.739999771118164,19.170000076293945,19.709999084472656,19210900
5,2025-04-03,19.3799991607666,19.760000228881836,18.31999969482422,18.360000610351562,37346500
6,2025-04-04,17.670000076293945,18.979999542236328,17.610000610351562,18.809999465942383,37354100
7,2025-04-07,17.639999389648438,18.549999237060547,17.0,17.149999618530273,30450400
8,2025-04-08,17.520000457763672,18.3799991607666,17.350000381469727,18.25,27258200
9,2025-04-09,18.799999237060547,18.93000030517578,17.950000762939453,18.15999984741211,41270100
10,2025-04-10,19.239999771118164,19.530000686645508,18.809999465942383,18.950000762939453,30895200
11,2025-04-11,20.59000015258789,20.850000381469727,20.0,20.110000610351562,41834200
12,2025-04-14,20.40999984741211,20.75,19.84000015258789,20.350000381469727,25585500
13,2025-04-15,20.31999969482422,20.68000030517578,20.280000686645508,20.610000610351562,20283300
14,2025-04-16,20.649999618530273,21.110000610351562,20.40999984741211,20.979999542236328,28268700
15,2025-04-17,20.170000076293945,20.520000457763672,20.010000228881836,20.420000076293945,19869200
16,2025-04-21,20.450000762939453,20.940000534057617,20.219999313354492,20.899999618530273,22367400
17,2025-04-22,19.969999313354492,20.829999923706055,19.8799991607666,20.760000228881836,32353000
18,2025-04-23,19.059999465942383,19.209999084472656,18.790000915527344,19.010000228881836,37521600
19,2025-04-24,19.40999984741211,19.420000076293945,18.979999542236328,19.299999237060547,20656900
20,2025-04-25,19.049999237060547,19.15999984741211,18.770000457763672,18.8799991607666,17026200
