Price,Date,Close,High,Low,Open,Volume
Ticker,,HAL,HAL,HAL,HAL,HAL
0,2025-03-25,25.690000534057617,26.06999969482422,25.540000915527344,25.760000228881836,9032600
1,2025-03-26,25.700000762939453,26.239999771118164,25.639999389648438,25.959999084472656,8553300
2,2025-03-27,25.34000015258789,25.790000915527344,25.270000457763672,25.6299991607666,9956600
3,2025-03-28,25.06999969482422,25.559999465942383,24.93000030517578,25.350000381469727,6911100
4,2025-03-31,25.3700008392334,25.510000228881836,24.829999923706055,24.889999389648438,11031400
5,2025-04-01,25.549999237060547,25.649999618530273,25.06999969482422,25.25,7745100
6,2025-04-02,25.700000762939453,25.739999771118164,25.010000228881836,25.18000030517578,6703400
7,2025-04-03,22.389999389648438,24.18000030517578,22.350000381469727,24.110000610351562,20916700
8,2025-04-04,19.979999542236328,21.770000457763672,19.59000015258789,21.350000381469727,21921300
9,2025-04-07,19.989999771118164,20.829999923706055,18.719999313354492,19.280000686645508,19064700
10,2025-04-08,19.260000228881836,20.950000762939453,18.889999389648438,20.670000076293945,19438700
11,2025-04-09,22.06999969482422,22.549999237060547,18.75,18.860000610351562,20574100
12,2025-04-10,20.270000457763672,21.209999084472656,19.799999237060547,21.18000030517578,16097900
13,2025-04-11,21.06999969482422,21.200000762939453,20.059999465942383,20.389999389648438,13608700
14,2025-04-14,21.25,21.59000015258789,20.969999313354492,21.59000015258789,10059600
15,2025-04-15,21.25,21.670000076293945,21.15999984741211,21.219999313354492,8528200
16,2025-04-16,21.43000030517578,21.889999389648438,21.190000534057617,21.3799991607666,10744600
17,2025-04-17,22.530000686645508,22.68000030517578,21.770000457763672,21.8799991607666,18169600
18,2025-04-21,21.920000076293945,22.110000610351562,21.639999389648438,22.049999237060547,14165300
19,2025-04-22,20.700000762939453,21.0,19.75,20.110000610351562,29370100
20,2025-04-23,20.610000610351562,21.579999923706055,20.260000228881836,21.030000686645508,22493800
21,2025-04-24,21.209999084472656,21.334999084472656,20.639999389648438,20.81999969482422,14233181
