Price,Date,Close,High,Low,Open,Volume
Ticker,,HOOD,HOOD,HOOD,HOOD,HOOD
0,2025-03-27,43.9900016784668,45.59000015258789,43.2400016784668,44.11000061035156,51945500
1,2025-03-28,41.91999816894531,43.06999969482422,40.56999969482422,42.689998626708984,44330400
2,2025-03-31,41.619998931884766,41.95000076293945,38.8380012512207,39.775001525878906,40954800
3,2025-04-01,42.15999984741211,43.369998931884766,40.61000061035156,41.79999923706055,42942700
4,2025-04-02,42.68000030517578,43.5989990234375,40.54999923706055,40.689998626708984,44551400
5,2025-04-03,38.2599983215332,39.88999938964844,37.439998626708984,37.974998474121094,62216600
6,2025-04-04,34.5099983215332,36.25,31.59000015258789,35.625,80694700
7,2025-04-07,35.40999984741211,37.108001708984375,29.65999984741211,30.67300033569336,81135600
8,2025-04-08,34.16999816894531,37.849998474121094,33.084999084472656,37.1349983215332,63299900
9,2025-04-09,42.209999084472656,42.68000030517578,33.54999923706055,33.709999084472656,88299900
10,2025-04-10,40.5099983215332,42.130001068115234,37.779998779296875,40.29999923706055,64055500
11,2025-04-11,43.68000030517578,43.790000915527344,40.08000183105469,40.73500061035156,51352100
12,2025-04-14,44.13999938964844,45.09000015258789,42.5099983215332,45.0099983215332,45143500
13,2025-04-15,44.08000183105469,45.560001373291016,43.6870002746582,44.189998626708984,30788300
14,2025-04-16,40.65999984741211,43.13999938964844,40.06999969482422,41.86000061035156,46736500
15,2025-04-17,41.18000030517578,41.75,40.119998931884766,41.029998779296875,23940000
16,2025-04-21,39.849998474121094,41.558998107910156,39.209999084472656,40.72999954223633,27727700
17,2025-04-22,42.09000015258789,43.369998931884766,40.8120002746582,41.029998779296875,39232000
18,2025-04-23,44.65999984741211,47.220001220703125,44.27000045776367,45.29999923706055,48982800
19,2025-04-24,48.150001525878906,48.279998779296875,44.959999084472656,45.09000015258789,42991300
20,2025-04-25,49.45000076293945,49.9900016784668,48.47999954223633,48.900001525878906,34544700
