Price,Date,Close,High,Low,Open,Volume
Ticker,,IBM,IBM,IBM,IBM,IBM
0,2025-03-25,249.89999389648438,250.89999389648438,248.1999969482422,248.36000061035156,3133800
1,2025-03-26,250.33999633789062,254.32000732421875,249.52999877929688,251.25,4450100
2,2025-03-27,246.2100067138672,250.3000030517578,245.72999572753906,249.7100067138672,2889300
3,2025-03-28,244.0,247.57000732421875,242.07000732421875,246.27000427246094,3125300
4,2025-03-31,248.66000366210938,250.88999938964844,242.49000549316406,242.74000549316406,6795000
5,2025-04-01,250.33999633789062,250.6199951171875,243.49000549316406,248.02999877929688,4412900
6,2025-04-02,249.97999572753906,252.7899932861328,247.22999572753906,248.22000122070312,4080800
7,2025-04-03,243.49000549316406,250.61000061035156,242.52999877929688,242.7100067138672,5309600
8,2025-04-04,227.47999572753906,240.16000366210938,226.8800048828125,238.0,7407100
9,2025-04-07,225.77999877929688,232.2899932861328,214.5,219.24000549316406,7797900
10,2025-04-08,221.02999877929688,233.0500030517578,217.27999877929688,232.55999755859375,6850000
11,2025-04-09,235.30999755859375,236.3000030517578,215.16000366210938,217.1199951171875,7302800
12,2025-04-10,229.5500030517578,232.57000732421875,222.02000427246094,231.0,5656100
13,2025-04-11,235.47999572753906,237.5800018310547,227.50999450683594,229.72000122070312,4325900
14,2025-04-14,239.05999755859375,241.77000427246094,236.72999572753906,239.77000427246094,3321500
15,2025-04-15,240.6999969482422,241.52999877929688,238.27000427246094,239.5500030517578,3363700
16,2025-04-16,238.57000732421875,243.3000030517578,235.88999938964844,240.27999877929688,4869900
17,2025-04-17,238.80999755859375,241.77999877929688,237.39999389648438,239.67999267578125,4626900
18,2025-04-21,236.22000122070312,240.80999755859375,232.92999267578125,238.07000732421875,4908900
19,2025-04-22,240.89999389648438,242.63999938964844,238.02000427246094,238.5,4232700
20,2025-04-23,245.47999572753906,249.33999633789062,243.66000366210938,246.0,7948300
21,2025-04-24,229.3300018310547,232.77999877929688,224.44009399414062,231.1750030517578,14370708
