Price,Date,Close,High,Low,Open,Volume
Ticker,,INFY,INFY,INFY,INFY,INFY
0,2025-03-19,18.56999969482422,18.670000076293945,18.440000534057617,18.540000915527344,9710800
1,2025-03-20,18.059999465942383,18.389999389648438,17.899999618530273,18.329999923706055,19376100
2,2025-03-21,18.31999969482422,18.43000030517578,18.170000076293945,18.40999984741211,18677600
3,2025-03-24,18.59000015258789,18.6299991607666,18.5,18.6299991607666,7515800
4,2025-03-25,18.829999923706055,19.020000457763672,18.790000915527344,18.889999389648438,11605900
5,2025-03-26,18.65999984741211,18.790000915527344,18.600000381469727,18.6200008392334,7391100
6,2025-03-27,18.670000076293945,18.780000686645508,18.600000381469727,18.700000762939453,6249500
7,2025-03-28,18.170000076293945,18.479999542236328,18.110000610351562,18.3700008392334,7866100
8,2025-03-31,18.25,18.290000915527344,17.8700008392334,18.0,12408200
9,2025-04-01,18.200000762939453,18.209999084472656,17.950000762939453,18.190000534057617,13574900
10,2025-04-02,18.389999389648438,18.43000030517578,18.1200008392334,18.149999618530273,9782300
11,2025-04-03,17.350000381469727,17.75,17.280000686645508,17.559999465942383,16271300
12,2025-04-04,16.579999923706055,16.899999618530273,16.5,16.799999237060547,19389000
13,2025-04-07,16.780000686645508,17.43000030517578,16.350000381469727,16.40999984741211,23309900
14,2025-04-08,16.420000076293945,17.170000076293945,16.229999542236328,17.040000915527344,12944700
15,2025-04-09,17.65999984741211,17.770000457763672,16.149999618530273,16.149999618530273,20797800
16,2025-04-10,16.979999542236328,17.309999465942383,16.5,17.260000228881836,25884800
17,2025-04-11,16.8799991607666,16.950000762939453,16.479999542236328,16.760000228881836,15133500
18,2025-04-14,17.010000228881836,17.170000076293945,16.8799991607666,17.170000076293945,20142000
19,2025-04-15,17.030000686645508,17.059999465942383,16.860000610351562,16.889999389648438,16826200
20,2025-04-16,16.579999923706055,16.850000381469727,16.530000686645508,16.600000381469727,21244700
21,2025-04-17,16.139999389648438,16.450000762939453,15.819999694824219,16.219999313354492,20714100
