Price,Date,Close,High,Low,Open,Volume
Ticker,,MP,MP,MP,MP,MP
0,2025-03-19,26.809999465942383,27.288000106811523,26.329999923706055,26.93000030517578,2693800
1,2025-03-20,26.25,27.239999771118164,26.101999282836914,26.65999984741211,4207900
2,2025-03-21,25.899999618530273,26.200000762939453,24.959999084472656,26.200000762939453,4614300
3,2025-03-24,26.459999084472656,26.920000076293945,26.059999465942383,26.219999313354492,2635000
4,2025-03-25,26.93000030517578,27.260000228881836,26.559999465942383,26.6200008392334,2933700
5,2025-03-26,26.059999465942383,27.051000595092773,25.709999084472656,27.0,2238400
6,2025-03-27,26.170000076293945,26.579999923706055,25.260000228881836,25.489999771118164,2147300
7,2025-03-28,25.969999313354492,26.489999771118164,25.649999618530273,25.799999237060547,3139300
8,2025-03-31,24.40999984741211,25.110000610351562,23.40999984741211,25.0,3586700
9,2025-04-01,25.170000076293945,25.3799991607666,24.18000030517578,24.270000457763672,2765700
10,2025-04-02,25.15999984741211,25.489999771118164,24.635000228881836,24.850000381469727,1842400
11,2025-04-03,24.81999969482422,25.6299991607666,23.65999984741211,23.760000228881836,3717000
12,2025-04-04,23.059999465942383,26.450000762939453,22.1200008392334,26.100000381469727,8168100
13,2025-04-07,23.989999771118164,25.5,21.770000457763672,21.799999237060547,5256500
14,2025-04-08,21.940000534057617,26.104999542236328,21.56999969482422,26.0,5268600
15,2025-04-09,23.809999465942383,24.1299991607666,21.15999984741211,22.360000610351562,7116800
16,2025-04-10,23.540000915527344,23.920000076293945,22.639999389648438,23.290000915527344,3836400
17,2025-04-11,22.68000030517578,23.489999771118164,21.559999465942383,23.040000915527344,9026500
18,2025-04-14,27.59000015258789,28.402999877929688,24.579999923706055,25.190000534057617,23657200
19,2025-04-15,25.06999969482422,29.719999313354492,24.850000381469727,29.280000686645508,15803200
20,2025-04-16,27.579999923706055,29.1299991607666,25.790000915527344,26.06999969482422,18086900
21,2025-04-17,26.350000381469727,28.18000030517578,24.700000762939453,27.700000762939453,20272500
