Price,Date,Close,High,Low,Open,Volume
Ticker,,MSFT,MSFT,MSFT,MSFT,MSFT
0,2025-03-27,390.5799865722656,392.239990234375,387.3999938964844,390.1300048828125,13766800
1,2025-03-28,378.79998779296875,389.1300048828125,376.92999267578125,388.0799865722656,21632000
2,2025-03-31,375.3900146484375,377.07000732421875,367.239990234375,372.5400085449219,35184700
3,2025-04-01,382.19000244140625,382.8500061035156,373.2300109863281,374.6499938964844,19689500
4,2025-04-02,382.1400146484375,385.0799865722656,376.6199951171875,377.9700012207031,16092600
5,2025-04-03,373.1099853515625,377.4800109863281,369.3500061035156,374.7900085449219,30198000
6,2025-04-04,359.8399963378906,374.5899963378906,359.4800109863281,364.1300048828125,49209900
7,2025-04-07,357.8599853515625,371.0,344.7900085449219,350.8800048828125,50425000
8,2025-04-08,354.55999755859375,373.6499938964844,350.25,368.260009765625,35868900
9,2025-04-09,390.489990234375,393.2300109863281,353.1000061035156,353.5400085449219,50199700
10,2025-04-10,381.3500061035156,383.8999938964844,367.79998779296875,382.05999755859375,38024400
11,2025-04-11,388.45001220703125,390.04998779296875,378.8900146484375,380.6400146484375,23839200
12,2025-04-14,387.80999755859375,394.6499938964844,384.2099914550781,393.2200012207031,19251200
13,2025-04-15,385.7300109863281,391.8900146484375,384.1600036621094,388.510009765625,17199900
14,2025-04-16,371.6099853515625,381.6099853515625,368.0,380.6700134277344,21967800
15,2025-04-17,367.7799987792969,374.32000732421875,366.8900146484375,373.75,20943700
16,2025-04-21,359.1199951171875,364.4800109863281,355.6700134277344,362.82000732421875,20807300
17,2025-04-22,366.82000732421875,367.7699890136719,359.8599853515625,363.3800048828125,19485000
18,2025-04-23,374.3900146484375,380.3900146484375,373.0199890136719,376.05999755859375,20545500
19,2025-04-24,387.29998779296875,388.45001220703125,375.19000244140625,375.70001220703125,22232300
20,2025-04-25,391.8500061035156,392.1600036621094,384.6000061035156,387.0,18963600
