Price,Date,Close,High,Low,Open,Volume
Ticker,,NIO,NIO,NIO,NIO,NIO
0,2025-03-27,3.9800000190734863,4.03000020980835,3.880000114440918,3.9000000953674316,156708300
1,2025-03-28,3.75,3.930000066757202,3.7300000190734863,3.9000000953674316,78965100
2,2025-03-31,3.809999942779541,3.8499999046325684,3.569999933242798,3.6700000762939453,64817600
3,2025-04-01,3.869999885559082,4.0,3.819999933242798,3.869999885559082,43177400
4,2025-04-02,3.799999952316284,3.8399999141693115,3.75,3.809999942779541,46021100
5,2025-04-03,3.740000009536743,3.7799999713897705,3.630000114440918,3.640000104904175,36666500
6,2025-04-04,3.4600000381469727,3.569999933242798,3.200000047683716,3.5,77685600
7,2025-04-07,3.359999895095825,3.549999952316284,3.180000066757202,3.200000047683716,73974800
8,2025-04-08,3.140000104904175,3.4100000858306885,3.0199999809265137,3.390000104904175,78198000
9,2025-04-09,3.309999942779541,3.359999895095825,3.0399999618530273,3.0899999141693115,78717700
10,2025-04-10,3.2799999713897705,3.490000009536743,3.240000009536743,3.380000114440918,73432200
11,2025-04-11,3.5199999809265137,3.5199999809265137,3.299999952316284,3.3299999237060547,56524300
12,2025-04-14,3.609999895095825,3.7100000381469727,3.569999933242798,3.5999999046325684,44128900
13,2025-04-15,3.619999885559082,3.6500000953674316,3.549999952316284,3.559999942779541,28866300
14,2025-04-16,3.5199999809265137,3.569999933242798,3.4200000762939453,3.450000047683716,33469500
15,2025-04-17,3.5199999809265137,3.5799999237060547,3.490000009536743,3.509999990463257,23168700
16,2025-04-21,3.5999999046325684,3.609999895095825,3.4800000190734863,3.5399999618530273,28419000
17,2025-04-22,3.75,3.7899999618530273,3.609999895095825,3.630000114440918,38578000
18,2025-04-23,3.930000066757202,3.990000009536743,3.819999933242798,3.8299999237060547,46950500
19,2025-04-24,4.179999828338623,4.239999771118164,3.940000057220459,3.940000057220459,55103400
20,2025-04-25,4.03000020980835,4.110000133514404,3.9700000286102295,4.110000133514404,39488800
