Price,Date,Close,High,Low,Open,Volume
Ticker,,PBR,PBR,PBR,PBR,PBR
0,2025-03-27,14.390000343322754,14.5600004196167,14.300000190734863,14.300000190734863,9927800
1,2025-03-28,14.380000114440918,14.510000228881836,14.130000114440918,14.430000305175781,13874800
2,2025-03-31,14.34000015258789,14.529999732971191,14.180000305175781,14.319999694824219,15328200
3,2025-04-01,14.460000038146973,14.890000343322754,14.369999885559082,14.380000114440918,26465100
4,2025-04-02,14.390000343322754,14.430000305175781,14.270000457763672,14.350000381469727,9399300
5,2025-04-03,14.010000228881836,14.199999809265137,13.9399995803833,13.970000267028809,22162400
6,2025-04-04,13.130000114440918,13.1899995803833,12.539999961853027,13.1899995803833,54177400
7,2025-04-07,12.010000228881836,12.890000343322754,12.0,12.59000015258789,56239000
8,2025-04-08,11.460000038146973,12.390000343322754,11.369999885559082,12.390000343322754,37786100
9,2025-04-09,12.210000038146973,12.329999923706055,11.029999732971191,11.119999885559082,39184100
10,2025-04-10,11.300000190734863,11.890000343322754,11.220000267028809,11.760000228881836,50046700
11,2025-04-11,11.5600004196167,11.670000076293945,11.09000015258789,11.270000457763672,37626700
12,2025-04-14,11.59000015258789,11.949999809265137,11.420000076293945,11.949999809265137,26843200
13,2025-04-15,11.270000457763672,11.670000076293945,11.270000457763672,11.579999923706055,22368100
14,2025-04-16,11.220000267028809,11.430000305175781,11.1899995803833,11.369999885559082,32858100
15,2025-04-17,11.619999885559082,11.789999961853027,11.34000015258789,11.34000015258789,32520700
16,2025-04-21,11.510000228881836,11.569999694824219,11.3100004196167,11.5600004196167,22472200
17,2025-04-22,11.489999771118164,11.619999885559082,11.260000228881836,11.319999694824219,27378500
18,2025-04-23,11.470000267028809,11.829999923706055,11.40999984741211,11.710000038146973,39695500
19,2025-04-24,11.420000076293945,11.59000015258789,11.239999771118164,11.579999923706055,37237400
20,2025-04-25,11.479999542236328,11.579999923706055,11.300000190734863,11.350000381469727,15711900
