Price,Date,Close,High,Low,Open,Volume
Ticker,,PONY,PONY,PONY,PONY,PONY
0,2025-03-27,10.15999984741211,10.935999870300293,10.050000190734863,10.880000114440918,1998100
1,2025-03-28,8.970000267028809,10.177000045776367,8.829999923706055,10.0600004196167,2262100
2,2025-03-31,8.819999694824219,8.9399995803833,8.329999923706055,8.649999618530273,1937700
3,2025-04-01,7.889999866485596,8.880000114440918,7.550000190734863,8.84000015258789,3555100
4,2025-04-02,7.559999942779541,8.079999923706055,7.369999885559082,8.079999923706055,3062200
5,2025-04-03,6.920000076293945,7.25,6.670000076293945,7.25,2729600
6,2025-04-04,6.409999847412109,6.670000076293945,6.125,6.579999923706055,1740100
7,2025-04-07,6.539999961853027,6.880000114440918,5.820000171661377,5.980000019073486,1855500
8,2025-04-08,5.769999980926514,6.829999923706055,5.559999942779541,6.820000171661377,2192600
9,2025-04-09,6.539999961853027,6.64900016784668,5.630000114440918,5.809999942779541,2738900
10,2025-04-10,5.849999904632568,6.329999923706055,5.690000057220459,6.329999923706055,1784100
11,2025-04-11,5.300000190734863,6.0,5.215000152587891,5.900000095367432,4238400
12,2025-04-14,5.380000114440918,5.699999809265137,5.329999923706055,5.46999979019165,2051200
13,2025-04-15,5.190000057220459,5.454999923706055,4.980000019073486,5.400000095367432,2020600
14,2025-04-16,4.690000057220459,5.139999866485596,4.5,5.079999923706055,2343200
15,2025-04-17,4.480000019073486,4.849999904632568,4.460000038146973,4.739999771118164,1197700
16,2025-04-21,4.179999828338623,4.510000228881836,4.119999885559082,4.440000057220459,1462400
17,2025-04-22,4.159999847412109,4.320000171661377,4.110000133514404,4.289999961853027,1766400
18,2025-04-23,5.429999828338623,5.690000057220459,4.539999961853027,4.550000190734863,9917100
19,2025-04-24,7.570000171661377,7.699999809265137,5.909999847412109,6.110000133514404,20989900
20,2025-04-25,7.010000228881836,9.800000190734863,6.809999942779541,9.34000015258789,39788100
