Price,Date,Close,High,Low,Open,Volume
Ticker,,RGTI,RGTI,RGTI,RGTI,RGTI
0,2025-03-27,8.470000267028809,9.1899995803833,8.40999984741211,9.020000457763672,28869400
1,2025-03-28,8.149999618530273,8.418999671936035,7.7820000648498535,8.399999618530273,28049000
2,2025-03-31,7.920000076293945,8.295000076293945,7.679999828338623,7.769999980926514,34826600
3,2025-04-01,7.809999942779541,8.126999855041504,7.510000228881836,8.104999542236328,31044000
4,2025-04-02,8.489999771118164,8.920000076293945,7.550000190734863,7.590000152587891,44091200
5,2025-04-03,8.149999618530273,8.3100004196167,7.909999847412109,7.980000019073486,29717500
6,2025-04-04,7.5,7.7829999923706055,6.980000019073486,7.769999980926514,36000000
7,2025-04-07,8.329999923706055,8.779999732971191,6.860000133514404,6.920000076293945,49612500
8,2025-04-08,7.71999979019165,8.960000038146973,7.519999980926514,8.9399995803833,42356600
9,2025-04-09,9.390000343322754,9.460000038146973,7.699999809265137,7.980000019073486,56004100
10,2025-04-10,9.420000076293945,9.739999771118164,8.850000381469727,9.0649995803833,41070600
11,2025-04-11,9.100000381469727,9.539999961853027,8.6899995803833,9.449999809265137,27496000
12,2025-04-14,8.859999656677246,9.699999809265137,8.779999732971191,9.399999618530273,23235600
13,2025-04-15,8.619999885559082,8.960000038146973,8.449999809265137,8.869999885559082,15826800
14,2025-04-16,8.25,8.420000076293945,7.980000019073486,8.279999732971191,15132500
15,2025-04-17,8.319999694824219,8.475000381469727,8.074999809265137,8.289999961853027,11981100
16,2025-04-21,8.109999656677246,8.204999923706055,7.809999942779541,8.170000076293945,12028800
17,2025-04-22,8.569999694824219,8.579999923706055,8.125,8.229999542236328,14606400
18,2025-04-23,9.109999656677246,9.350000381469727,8.869999885559082,9.0600004196167,25910600
19,2025-04-24,9.300000190734863,9.729999542236328,9.140000343322754,9.227999687194824,27748000
20,2025-04-25,9.369999885559082,9.800000190734863,8.970000267028809,9.229999542236328,36453400
