Price,Date,Close,High,Low,Open,Volume
Ticker,,RTX,RTX,RTX,RTX,RTX
0,2025-03-24,134.69000244140625,134.88999938964844,131.94000244140625,132.66000366210938,5525300
1,2025-03-25,135.66000366210938,135.94000244140625,133.97999572753906,134.77999877929688,3990600
2,2025-03-26,134.3300018310547,136.1699981689453,134.05999755859375,135.97000122070312,4464500
3,2025-03-27,133.42999267578125,134.9600067138672,133.16000366210938,134.91000366210938,3914000
4,2025-03-28,131.72000122070312,133.63999938964844,131.63999938964844,132.97000122070312,3935200
5,2025-03-31,132.4600067138672,133.13999938964844,130.5800018310547,131.05999755859375,5521100
6,2025-04-01,132.85000610351562,133.0399932861328,131.36000061035156,132.27999877929688,4799300
7,2025-04-02,133.14999389648438,133.67999267578125,131.2100067138672,131.36000061035156,3352900
8,2025-04-03,130.22999572753906,133.7100067138672,129.94000244140625,131.0,4605200
9,2025-04-04,117.44999694824219,126.37999725341797,117.3499984741211,126.0,8526700
10,2025-04-07,117.31999969482422,119.91999816894531,112.2699966430664,113.91999816894531,8774800
11,2025-04-08,120.45999908447266,123.97000122070312,118.69999694824219,123.01000213623047,8108600
12,2025-04-09,128.42999267578125,128.92999267578125,118.16999816894531,119.0199966430664,6747400
13,2025-04-10,127.06999969482422,129.2899932861328,123.7699966430664,126.91000366210938,6457800
14,2025-04-11,128.25999450683594,129.32000732421875,125.0,126.16000366210938,3654100
15,2025-04-14,129.13999938964844,129.9499969482422,128.27999877929688,129.25,4099900
16,2025-04-15,128.63999938964844,129.9499969482422,128.24000549316406,128.5,6315600
17,2025-04-16,129.25,130.1999969482422,128.44000244140625,129.91000366210938,5382800
18,2025-04-17,128.88999938964844,130.5,127.69999694824219,129.36000061035156,5216300
19,2025-04-21,126.12000274658203,128.72999572753906,124.7300033569336,128.5,6397400
20,2025-04-22,113.75,117.19000244140625,112.62999725341797,114.52999877929688,17065900
