Price,Date,Close,High,Low,Open,Volume
Ticker,,SBSW,SBSW,SBSW,SBSW,SBSW
0,2025-03-24,4.329999923706055,4.429999828338623,4.309999942779541,4.409999847412109,5329300
1,2025-03-25,4.329999923706055,4.429999828338623,4.309999942779541,4.320000171661377,7505800
2,2025-03-26,4.349999904632568,4.429999828338623,4.320000171661377,4.380000114440918,6101200
3,2025-03-27,4.349999904632568,4.369999885559082,4.25,4.289999961853027,6423400
4,2025-03-28,4.380000114440918,4.570000171661377,4.349999904632568,4.480000019073486,9376400
5,2025-03-31,4.579999923706055,4.630000114440918,4.389999866485596,4.550000190734863,21735000
6,2025-04-01,4.519999980926514,4.710000038146973,4.429999828338623,4.699999809265137,13357700
7,2025-04-02,4.53000020980835,4.550000190734863,4.389999866485596,4.420000076293945,7981200
8,2025-04-03,4.150000095367432,4.269999980926514,4.070000171661377,4.079999923706055,13950200
9,2025-04-04,3.440000057220459,3.740000009536743,3.4100000858306885,3.7200000286102295,19632500
10,2025-04-07,3.430000066757202,3.759999990463257,3.369999885559082,3.5,12492500
11,2025-04-08,3.2200000286102295,3.680000066757202,3.180000066757202,3.630000114440918,21791400
12,2025-04-09,3.819999933242798,3.890000104904175,3.380000114440918,3.4600000381469727,25352900
13,2025-04-10,3.890000104904175,3.990000009536743,3.7300000190734863,3.799999952316284,14324200
14,2025-04-11,4.380000114440918,4.440000057220459,4.179999828338623,4.190000057220459,14596700
15,2025-04-14,4.429999828338623,4.480000019073486,4.239999771118164,4.300000190734863,10796900
16,2025-04-15,4.480000019073486,4.590000152587891,4.449999809265137,4.5,12296100
17,2025-04-16,4.900000095367432,4.989999771118164,4.789999961853027,4.789999961853027,20456100
18,2025-04-17,4.96999979019165,5.050000190734863,4.699999809265137,4.710000038146973,18198500
19,2025-04-21,5.019999980926514,5.239999771118164,4.920000076293945,5.159999847412109,10727300
20,2025-04-22,5.019999980926514,5.159999847412109,4.960000038146973,4.980000019073486,17343700
