Price,Date,Close,High,Low,Open,Volume
Ticker,,SPY,SPY,SPY,SPY,SPY
0,2025-03-27,567.0800170898438,570.9000244140625,564.9400024414062,567.1799926757812,42164200
1,2025-03-28,555.6599731445312,566.27001953125,555.0700073242188,565.530029296875,71662700
2,2025-03-31,559.3900146484375,560.7100219726562,546.8699951171875,549.8300170898438,95328200
3,2025-04-01,560.969970703125,562.9400024414062,553.6799926757812,557.4500122070312,54609600
4,2025-04-02,564.52001953125,567.4199829101562,554.8099975585938,555.0499877929688,76014500
5,2025-04-03,536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000
6,2025-04-04,505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,217965100
7,2025-04-07,504.3800048828125,523.1699829101562,481.79998779296875,489.19000244140625,256611400
8,2025-04-08,496.4800109863281,524.97998046875,489.1600036621094,521.8599853515625,165816600
9,2025-04-09,548.6199951171875,548.6199951171875,493.04998779296875,493.44000244140625,241867300
10,2025-04-10,524.5800170898438,533.5,509.32000732421875,532.1699829101562,162331200
11,2025-04-11,533.9400024414062,536.4299926757812,520.0700073242188,523.010009765625,97866300
12,2025-04-14,539.1199951171875,544.280029296875,533.8599853515625,544.0499877929688,68034000
13,2025-04-15,537.6099853515625,543.22998046875,536.8099975585938,539.6699829101562,56892900
14,2025-04-16,525.6599731445312,537.8900146484375,520.2899780273438,531.6799926757812,83484800
15,2025-04-17,526.4099731445312,531.1699829101562,523.9099731445312,527.6400146484375,79741000
16,2025-04-21,513.8800048828125,521.7000122070312,508.4599914550781,521.1599731445312,69368100
17,2025-04-22,527.25,529.2999877929688,519.1900024414062,520.1400146484375,75948100
18,2025-04-23,535.4199829101562,545.4299926757812,533.8800048828125,540.4299926757812,90590700
19,2025-04-24,546.6900024414062,547.4299926757812,535.4500122070312,536.719970703125,64150400
20,2025-04-25,550.6400146484375,551.0499877929688,543.6900024414062,546.6500244140625,61025700
