Price,Date,Close,High,Low,Open,Volume
Ticker,,XOM,XOM,XOM,XOM,XOM
0,2025-03-27,117.88999938964844,119.06999969482422,117.26000213623047,118.0999984741211,12740800
1,2025-03-28,117.7300033569336,118.45999908447266,117.23999786376953,118.0999984741211,10233400
2,2025-03-31,118.93000030517578,119.91000366210938,117.79000091552734,117.79000091552734,21652300
3,2025-04-01,119.04000091552734,119.27999877929688,117.93000030517578,119.22000122070312,12425400
4,2025-04-02,118.66999816894531,118.83999633789062,117.66000366210938,118.38999938964844,12614600
5,2025-04-03,112.43000030517578,115.44999694824219,112.2300033569336,114.37000274658203,21204600
6,2025-04-04,104.33999633789062,110.83000183105469,103.83000183105469,109.87000274658203,30841300
7,2025-04-07,102.94000244140625,105.80000305175781,98.45999908447266,100.38999938964844,35068500
8,2025-04-08,100.7699966430664,105.5999984741211,99.01000213623047,105.45999908447266,27147800
9,2025-04-09,105.80000305175781,106.58000183105469,98.12999725341797,99.37000274658203,30063300
10,2025-04-10,99.93000030517578,103.77999877929688,97.80000305175781,103.70999908447266,33999300
11,2025-04-11,103.13999938964844,103.93000030517578,98.79000091552734,100.30000305175781,22884600
12,2025-04-14,103.38999938964844,105.08999633789062,102.72000122070312,105.02999877929688,18020000
13,2025-04-15,103.0999984741211,105.41000366210938,103.0,103.63999938964844,13164900
14,2025-04-16,104.19000244140625,105.58999633789062,103.69999694824219,103.94999694824219,13607000
15,2025-04-17,106.91999816894531,108.55000305175781,104.45999908447266,104.69000244140625,17835400
16,2025-04-21,105.3499984741211,105.62999725341797,104.12000274658203,105.61000061035156,16926500
17,2025-04-22,108.30000305175781,108.94000244140625,106.13999938964844,106.13999938964844,13147000
18,2025-04-23,107.37000274658203,109.30000305175781,106.47000122070312,108.80999755859375,14235700
19,2025-04-24,108.62999725341797,108.87999725341797,106.95999908447266,107.97000122070312,9849600
20,2025-04-25,108.56999969482422,108.76000213623047,107.41999816894531,108.13999938964844,11244900
